epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
23,1524.61,0.70975,0.48823,0.01084,0.97981,0.97059,0.97961,0.84134,0.63731,0.40063,0.0149,0.0011288,0.0011288,0.0011288
24,1636.64,0.72611,0.48557,0.01095,0.97896,0.95098,0.96931,0.83978,0.65265,0.39002,0.01463,0.0010892,0.0010892,0.0010892
25,1730.27,0.69245,0.46853,0.01056,0.98035,0.97812,0.97535,0.83272,0.62543,0.4173,0.01469,0.0010496,0.0010496,0.0010496
26,1782.55,0.68045,0.4426,0.0105,0.97063,0.98039,0.97378,0.84771,0.62908,0.3522,0.01417,0.00101,0.00101,0.00101
27,1835.27,0.67906,0.4304,0.01025,0.9594,0.97059,0.97842,0.8543,0.58619,0.3909,0.01283,0.0009704,0.0009704,0.0009704
28,1887.32,0.67751,0.44134,0.00997,0.97029,0.9606,0.97152,0.84853,0.59675,0.38626,0.01411,0.0009308,0.0009308,0.0009308
29,1950.38,0.69915,0.45065,0.01067,0.95192,0.97056,0.97715,0.84542,0.58248,0.42563,0.01302,0.0008912,0.0008912,0.0008912
30,2033.01,0.67645,0.42999,0.01054,0.9703,0.96073,0.97404,0.83098,0.58372,0.44835,0.01389,0.0008516,0.0008516,0.0008516
31,2110.92,0.67378,0.43421,0.01046,0.97823,0.96078,0.97307,0.84701,0.59152,0.41076,0.01321,0.000812,0.000812,0.000812
32,2165.86,0.65488,0.41182,0.00989,0.97998,0.95987,0.97859,0.85743,0.54499,0.40044,0.01186,0.0007724,0.0007724,0.0007724
33,2219.82,0.65616,0.40485,0.00998,0.97912,0.96078,0.97792,0.86601,0.54501,0.32617,0.01229,0.0007328,0.0007328,0.0007328
34,2273.79,0.62835,0.40461,0.00935,0.98018,0.96979,0.9786,0.85825,0.57336,0.32964,0.01357,0.0006932,0.0006932,0.0006932
35,2327.15,0.63623,0.42361,0.0096,0.98018,0.96961,0.97821,0.86147,0.54688,0.34609,0.01214,0.0006536,0.0006536,0.0006536
36,2380.63,0.62773,0.37538,0.00929,0.98039,0.98006,0.97665,0.87237,0.52253,0.33749,0.01172,0.000614,0.000614,0.000614
37,2434.3,0.63883,0.40164,0.00938,0.96873,0.98039,0.97609,0.87369,0.50493,0.37216,0.01094,0.0005744,0.0005744,0.0005744
38,2488.84,0.61936,0.38037,0.00938,0.9795,0.98039,0.97775,0.87586,0.53653,0.34814,0.01215,0.0005348,0.0005348,0.0005348
39,2544.25,0.63336,0.40893,0.00921,0.96932,0.98039,0.97864,0.86601,0.53724,0.34389,0.01196,0.0004952,0.0004952,0.0004952
40,2597.5,0.57324,0.34304,0.00852,0.97957,0.98039,0.98075,0.87268,0.55294,0.3445,0.01277,0.0004556,0.0004556,0.0004556
41,2663.9,0.44322,0.2378,0.01119,0.98034,0.97772,0.98,0.87523,0.56488,0.3504,0.01238,0.000416,0.000416,0.000416
42,2713.34,0.46411,0.24511,0.01164,0.9801,0.98039,0.97863,0.86786,0.53679,0.35929,0.01222,0.0003764,0.0003764,0.0003764
43,2762.14,0.44538,0.21808,0.01146,0.97936,0.98039,0.9791,0.86622,0.52845,0.3221,0.0113,0.0003368,0.0003368,0.0003368
44,2811.24,0.42448,0.22319,0.01054,0.97847,0.98039,0.97853,0.87153,0.50342,0.32277,0.01069,0.0002972,0.0002972,0.0002972
45,2862.04,0.42265,0.22228,0.0105,0.97832,0.98039,0.9787,0.87862,0.49668,0.33648,0.01026,0.0002576,0.0002576,0.0002576
46,2912.14,0.41023,0.1879,0.00969,0.97827,0.98039,0.97855,0.8707,0.501,0.308,0.0108,0.000218,0.000218,0.000218
47,2965.12,0.4111,0.20567,0.01016,0.97771,0.98039,0.97904,0.87727,0.51611,0.30823,0.01156,0.0001784,0.0001784,0.0001784
48,3018.17,0.41317,0.20699,0.01037,0.9794,0.98039,0.97892,0.87595,0.5124,0.3014,0.01112,0.0001388,0.0001388,0.0001388
49,3072.19,0.39589,0.20759,0.00976,0.96953,0.98039,0.97875,0.87497,0.51577,0.30086,0.011,9.92e-05,9.92e-05,9.92e-05
50,3127.16,0.3878,0.21064,0.00931,0.97766,0.98039,0.97855,0.87393,0.507,0.30653,0.01083,5.96e-05,5.96e-05,5.96e-05
